NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
600100221;NW;BROEDERSPUT PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;DR RUTH S MOMPATI;NALEDI;FARM;GOVERNMENT;25,100744;-26,835044;NALEDI LOCAL MUNICIPALITY;;VRYBURG;P.O BOX 1863;VRYBURG;BROEDERSPUT FARM, P.O BOX 1863, VRYBURG, 2747;Q1;;NO;UNKNOWN;367;11
600100224;NW;BUFFELSVLEI INTERMEDIATE;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;DR KENNETH KAUNDA;MORNING STAR;FARM;FARM;27,135386;-26,550869;JB MARKS LOCAL MUNICIPALITY;;POTCHEFSTROOM;POTCHEFSTROOM;BOSKOP;Corner R501 & Welgegund Straat, BOSKOP, POTCHEFSTROOM, 3747;Q1;;NO;UNKNOWN;371;12
600100226;NW;LAERSKOOL BURGERSDORP;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRE-PRIMARY;NGAKA MODIRI MOLEMA;DITSOBOTLA;GOVERNMENT;GOVERNMENT;26,17404;-26,16454;DITSOBOTLA LOCAL MUNICIPALITY;;LICHTENBURG;RETIEFS PARK;LICHTENBURG;BEYERS NAUDE RYLAAN 41, , LICHTENBURG, 1747;Q4;;NO;UNKNOWN;519;26
600100228;NW;C. N LEKALAKE MIDDLE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;MMABATHO;GOVERNMENT;GOVERNMENT;25,605387;-25,831581;MAHIKENG LOCAL MUNICIPALITY;;Mmabatho;UNIT5;MMABATHO;1068 Tawana Crescent, Unit 5, Mmabatho, 2747;Q3;;NO;UNKNOWN;271;8
600100231;NW;CARLISONIA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;DITSOBOTLA;TRUST LAND;GOVERNMENT;26,185853;-25,97646;DITSOBOTLA LOCAL MUNICIPALITY;;LICHTENBURG;RETIEFS PARK;LICHTENBURG;WELVERDIEND VILLAGE, LICHTENBURG, LICHTENBURG, 2747;Q1;;NO;UNKNOWN;279;9
600100233;NW;CHAENA PRIMARY;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;KRAAIMA;TRUST LAND;GOVERNMENT;25,286698;-26,295985;RATLOU LOCAL MUNICIPALITY;;MAHIKENG;Kraaipan;KRAAIPAN;STAND NO: 30601, LETSAPA SECTION, Kraaipan, MAHIKENG, 2747;Q3;;NO;UNKNOWN;340;10
600100234;NW;Chaneng Primary School;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;BOJANALA;BONESANG;GOVERNMENT;TRUST LAND;27,12056;-25,41023;RUSTENBURG  LOCAL MUNICIPALITY;;CHANENG;.;MOGWASE;369 MAKGAKGANA SECTION, , CHANENG, 1747;Q1;;NO;UNKNOWN;405;12
600100235;NW;Charles Mamogale Primary School;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;BOJANALA;RETLAKGONA;GOVERNMENT;GOVERNMENT;27,801239;-25,338637;MADIBENG LOCAL MUNICIPALITY;;BRITS;LEHWILIRING;JERICHO;1039 LEHWILIRING SECTION, JERICHO, BRITS, 2747;Q3;;NO;UNKNOWN;199;8
600100236;NW;Charora High School;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;BOJANALA;BONESANG;TRUST LAND;TRUST LAND;27,120318;-25,432337;RUSTENBURG  LOCAL MUNICIPALITY;;Rustenburg;Chaneng;CHANENG;Robega Village, Chaneng, Rustenburg, 4747;Q1;;NO;UNKNOWN;1125;34
600100237;NW;CHOSENG MIDDLE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;DR RUTH S MOMPATI;PUDUMONG;GOVERNMENT;TRUST LAND;24,681417;-27,379545;GREATER TAUNG LOCAL MUNICIPALITY;;PUDIMOE;.;PUDUMONG;CHOSENG VILLAGE, , PUDIMOE, 1747;Q1;;NO;UNKNOWN;660;21
600100238;NW;CHRIS HANI SECONDARY;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;DR KENNETH KAUNDA;TSWELELOPELE;GOVERNMENT;GOVERNMENT;26,60815;-26,90562;MATLOSANA LOCAL MUNICIPALITY;;JOUBERTON;EXTENSION;JOUBERTON;7671 ISIBEDLELE STREET, EXTENSION 13, JOUBERTON, 1747;Q3;;NO;UNKNOWN;945;25
600100239;NW;GEKOMBINEERDE SKOOL CHRISTIANA;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;DR RUTH S MOMPATI;LEKWA-TEEMANE;GOVERNMENT;GOVERNMENT;25,163147;-27,908717;LEKWA-TEEMANE LOCAL MUNICIPALITY;;Christiana;CHRISTIANA;CHRISTIANA;Diamanstraat 37, , Christiana, 4747;Q4;;NO;UNKNOWN;704;33
600100241;NW;COCEKANI COMPREHENSIVE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;DR KENNETH KAUNDA;MFUNDO-THUTO;GOVERNMENT;GOVERNMENT;26,60665;-26,97852;MATLOSANA LOCAL MUNICIPALITY;;KLERKSDORP;EXT;JOUBERTON;5912 UMSENGE STREET, JOUBERTON LOCATION, KLERKSDORP, 1747;Q2;;NO;UNKNOWN;817;28
600100242;NW;LAERSKOOL COLIGNY;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRE-PRIMARY;NGAKA MODIRI MOLEMA;COLIGNY;Public;GOVERNMENT;26,31884;-26,3361;DITSOBOTLA LOCAL MUNICIPALITY;;Coligny;Coligny;COLIGNY;Derde straat, Coligny, Coligny, 1747;Q4;;NO;UNKNOWN;260;13
600100243;NW;HIGH SCHOOL COLIGNY;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;COLIGNY;PRIVATE;Private;26,31925;-26,335683;DITSOBOTLA LOCAL MUNICIPALITY;;COLIGNY;COLIGNY;COLIGNY;THIRD STREET NO. 3, , COLIGNY, 2735;Q4;;NO;UNKNOWN;324;22
600100244;NW;COLINDA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;DR RUTH S MOMPATI;NALEDI;GOVERNMENT;GOVERNMENT;24,73822;-26,94763;NALEDI LOCAL MUNICIPALITY;;VRYBURG;COLRIDGE;VRYBURG;JAKARANDA STREET, COLRIDGE, VRYBURG, 5747;Q3;;NO;UNKNOWN;1204;37
600100245;NW;COLINDA SEKONDÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;DR RUTH S MOMPATI;NALEDI;GOVERNMENT;GOVERNMENT;24,73519;-26,94668;NALEDI LOCAL MUNICIPALITY;;Colridge;COLRIDGE;VRYBURG;Emmanuelstraat 5, , Colridge, 6747;Q3;;NO;UNKNOWN;1044;33
600100250;NW;THE CONNIE MINCHIN PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;MMABATHO;GOVERNMENT;GOVERNMENT;25,62405;-25,839495;MAHIKENG LOCAL MUNICIPALITY;;Mmabatho;MONTSHIOA;MMABATHO;Modiri Molema Road, Montshiwa, Mmabatho, 3747;Q4;;NO;UNKNOWN;1183;37
600100252;NW;CVO SCHOOL LICHTENBURG;OPEN;INDEPENDENT;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;DITSOBOTLA;PRIVATE;GOVERNMENT;26,16005471;-26,14032184;DITSOBOTLA LOCAL MUNICIPALITY;;LICHTENBURG;RETIEFS PARK;LICHTENBURG;9 VOORTREKKER ,RETIEFS PARK,RETIEFS PARK,LICHTENBURG,2740;N/A;;NO;UNKNOWN;107;18
600100255;NW;DANVILLLE SECONDARY;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;NGAKA MODIRI MOLEMA;TSHWARANANG;GOVERNMENT;GOVERNMENT;25,65411;-25,878414;MAHIKENG LOCAL MUNICIPALITY;;MAFIKENG;DANVILLE;MAFIKENG;SCHOOLSTREET, , MAFIKENG, 2747;Q4;;NO;UNKNOWN;572;20
