NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
500141895;KZN;ESTHER PAYNE SMITH SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;UMGUNGUNDLOVU;;GOVERNMENT;GOVERNMENT;30,3895;-29,5687;The Msunduzi Local Municipality;WOODLANDS;;NORTHDALE;;211 BOMBAY ROAD,NORTHDALE,PIETERMARITZBURG,3201;Q4;1/3/1900;NO;URBAN;644;23
500141932;KZN;ESTON PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMGUNGUNDLOVU;;GOVERNMENT;GOVERNMENT;30,5071;-29,8706;Mkhambathini Local Municipality;UMKOMAZI;;;;MAIN ROAD,ESTON,3740;Q4;1/3/1900;NO;RURAL;143;9
500141969;KZN;ESUSWENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ZULULAND;;GOVERNMENT;GOVERNMENT;31,5949;-27,8764;Nongoma Local Municipality;OPHIYANENI;;NNGOMA;;MANGOMHLOPHE AREA,MANGOMHLOPHE,NONGOMA,3950;Q3;1/3/1900;YES;RURAL;345;10
500142006;KZN;ESWENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMZINYATHI;;FARM;GOVERNMENT;30,4622;-28,3436;Msinga Local Municipality;DUNDEE NU;;DUNDEE;;BEAVALE FARM,SHIYANE AREA,DUNDEE,3000;Q1;1/3/1900;YES;RURAL;22;2
500142043;KZN;ESWENI JUNIOR PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ZULULAND;;GOVERNMENT;GOVERNMENT;31,7236;-28,0174;Nongoma Local Municipality;NDOLOLWANE;;EMANDLENI STORE NEXT TO INGWEMNYAMA H.P;;EKUUUKENI AREA,NONGOMA,3950;Q1;1/3/1900;YES;RURAL;241;10
500142080;KZN;ETETE S.A. PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ILEMBE;;FARM;FARM;31,1808;-29,4087;KwaDukuza Local Municipality;LOWER TUGELA NU;;SHAKASKRAAL;;GLENDALE ROAD,RIETVALLEY,SHAKASKRAAL,4430;Q1;1/3/1900;YES;RURAL;119;6
500142117;KZN;ETHAFENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;31,491;-29,0101;uMlalazi Local Municipality;IZINGWENYA;;ESHOWE;;2 KWAKHOZA,GENZINSILA A,ESHOWE,3815;Q2;1/3/1900;YES;RURAL;564;15
500142154;KZN;ETHAKASANI  PRIMARY  SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;31,9086;-28,8733;uMhlathuze Local Municipality;ESIKHAWINI H;;ESIKHAWINI;;782 H BLOCK,ESIKHAWINI,3887;Q3;1/3/1900;YES;URBAN;762;24
500142191;KZN;ETHALANENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;31,0431;-28,5581;Nkandla Local Municipality;THALANENI;;EKUKHANYENI TRIBAL AUTHORITY;;EKUKHANYENI TRIBAL AUTHORITY,ETHALANENI,NKANDLA,3855;Q2;1/3/1900;YES;RURAL;272;10
500142228;KZN;ETHEKWINI  PRIMARY  SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;PINETOWN;;GOVERNMENT;GOVERNMENT;30,9916;-29,7489;Ethekwini Metropolitan Municipality;KWA-MASHU B;;KWA MASHU;;212B SIKHIND ROAD,EMGIDWENI,KWAMASHU,4360;Q4;1/3/1900;NO;URBAN;1223;34
500142339;KZN;ETHULENI COMBINED PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UTHUKELA;;GOVERNMENT;GOVERNMENT;29,7407;-28,6732;Alfred Duma Local Municipality;KLIPRIVIER NU;;ROOSBOOM;;103 R LADYSMITH/COLENSO,COLENSO,LADYSMITH,3360;Q1;1/3/1900;YES;RURAL;72;4
500142376;KZN;ETHULWANE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;30,9648;-28,7841;Nkandla Local Municipality;NTULWANA;;C/O MAGWAZA TRADITIONAL AUTHORITY;;MAGWAZA TRIBAL AUTHORITY,KRANSDORP,3268;Q1;1/3/1900;YES;RURAL;581;18
500142413;KZN;ETONGWE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMZINYATHI;;GOVERNMENT;GOVERNMENT;30,904;-28,7859;Umvoti Local Municipality;VUKAPHANSI;;EMAKHABELENI;;EMAKHABELENI AREA,KRANSKOP,3273;Q1;1/3/1900;YES;RURAL;110;6
500142450;KZN;ETSHELIHLE PUBLIC PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;PINETOWN;;GOVERNMENT;GOVERNMENT;30,9168;-29,7952;Ethekwini Metropolitan Municipality;NONE;;3548 38TH AVENUE;;354838 THIRTYEIGHTH AVENUE,CLERNAVILLE,DURBAN,3602;Q3;1/3/1900;YES;URBAN;467;15
500142524;KZN;ETSHENIPRIMARYSCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UGU;;GOVERNMENT;GOVERNMENT;30,4237;-30,5323;Umzumbe Local Municipality;DIBI;;UMZUMBE;;KWAQWABE TRIBAL AUTHORITY,PORT SHEPSTONE,4226;Q2;1/3/1900;YES;RURAL;174;5
500142561;KZN;ETSHENILIKASHOBA  PRIMARY  SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UGU;;GOVERNMENT;GOVERNMENT;30,1024;-30,8369;Ray Nkonyeni Local Municipality;MDLAZI;;BIZANA MAIN ROAD;;KWASHOB WARD BHIZANA ROAD,IZINGOLWENI,PORT SHEPSTONE,4260;Q1;1/3/1900;YES;RURAL;402;11
500142598;KZN;EVANE INTERMEDIATE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;ZULULAND;;TRUST LAND;GOVERNMENT;31,5096;-27,7372;Abaqulusi Local Municipality;EHLOMAHLOMA;;VRYHEID;;DLOMODLOMO FARM,DLOMODLOMO,VRYHEID,3100;Q1;1/3/1900;YES;RURAL;85;4
500142635;KZN;SOUTHCITY CHRISTIAN SCHOOLS;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;UGU;;COMPANY;COMPANY;30,3896;-30,785;Ray Nkonyeni Local Municipality;PORT SHEPSTONE NU;HIBISCUS COAST RURAL;NULL;;IZOTSHA ,HIBISCUS COAST RURAL,HIBISCUS COAST,4275;N/A;1/3/1900;NO;RURAL;624;58
500142672;KZN;EVEREST HEIGHTS PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;PINETOWN;;GOVERNMENT;GOVERNMENT;31,0383;-29,6412;Ethekwini Metropolitan Municipality;GRANGETOWN EXT 1;;EVEREST HEIGHTS;;AUSTEN AVENUE,VERULAM,VERULAM G0R,4340;Q4;1/3/1900;NO;URBAN;1127;29
500142709;KZN;EVEREST PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMLAZI;;GOVERNMENT;GOVERNMENT;30,873;-29,8942;Ethekwini Metropolitan Municipality;SHALLCROSS;;SHALLCROSS;;HIMALAYA DRIVE,SHALLCROSS,DURBAN,4093;Q5;1/3/1900;NO;URBAN;584;25
500142746;KZN;EVERGREEN  PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMLAZI;;GOVERNMENT;GOVERNMENT;30,929;-29,9279;Ethekwini Metropolitan Municipality;HAVENSIDE;;HAVENSIDE;;153 HAVENSIDE DRIVE,HAVENSIDE CHATSWORTH,DURBAN,4030;Q5;1/3/1900;NO;URBAN;574;22
500142783;KZN;EVULEKA  PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ILEMBE;;GOVERNMENT;GOVERNMENT;30,9866;-28,9173;Maphumulo Local Municipality;VUMBU;;;;AMANGCOLOSI TRIBAL AUTHORITY,EWOSI,KRANSKOP,3268;Q1;1/3/1900;YES;RURAL;272;7
500142820;KZN;EVUTHA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ILEMBE;;GOVERNMENT;GOVERNMENT;31,4798;-29,0481;Mandeni Local Municipality;MAKHONI;;NYONI;;SIKHONYANE TRIBAL AUTHORITY,NYONI,3802;Q1;1/3/1900;YES;RURAL;390;11
500142857;KZN;EWELA P.P. SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ZULULAND;;TRUST LAND;GOVERNMENT;31,5366;-28,2354;Ulundi Local Municipality;SIPHETHU;;MAHLABATHINI;;EWELA RESERVE,MAHLABATHINI,3865;Q1;1/3/1900;YES;RURAL;329;13
500142894;KZN;EWUBWINI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UGU;;GOVERNMENT;GOVERNMENT;30,7165;-30,1156;Ethekwini Metropolitan Municipality;EWUBWINI;;IMFUME;;EWUBWINI,IMFUME,SCOTTBURGH,4160;Q1;1/3/1900;YES;RURAL;219;7
500142931;KZN;EXCELSIOR PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMLAZI;;GOVERNMENT;GOVERNMENT;30,945;-29,9329;Ethekwini Metropolitan Municipality;MOBENI HEIGHTS;;MOBENI HEIGHTS;;JUPITER SQUARE,MOBENI HEIGHTS,DURBAN,4060;Q4;1/3/1900;NO;URBAN;455;16
500142968;KZN;EXHAPHOZINI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;31,8984;-28,8796;uMhlathuze Local Municipality;ESIKHAWINI J;;;;21813 J BLOCK,ESIKHAWINI,RICHARDS BAY,3887;Q3;1/3/1900;YES;URBAN;871;32
500143005;KZN;EZAKHELENI HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;31,6702;-28,8127;uMlalazi Local Municipality;YEMENI;;MZIMELA TRADITIONAL COUNCIL;;OYEMENI RESERVE,EMPANGENI,3880;Q1;1/3/1900;YES;RURAL;744;23
500143042;KZN;EZAKHENI HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;UTHUKELA;;GOVERNMENT;GOVERNMENT;29,9253;-28,6003;Alfred Duma Local Municipality;EZAKHENI A;EZAKHENI SECTION;EZAKHENI;;551 SITE,EZAKHENI SECTION,EZAKHENI A,EZAKHENI,3881;Q4;1/3/1900;NO;URBAN;478;17
500143079;KZN;EZAMUKUTHULA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UTHUKELA;;GOVERNMENT;GOVERNMENT;29,7711;-29,0388;Inkosi Langalibalele Local Municipality;WEMBEZI C;;;;MTABAMHLOPE RAOD RAOD,WEMBESI C,ESCOURT,3310;Q3;1/3/1900;YES;RURAL;784;24
500143116;KZN;EZIBAYENI  PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMKHANYAKUDE;;GOVERNMENT;GOVERNMENT;32,0603;-28,0006;Big Five Hlabisa Local Municipality;MZINENE;;HLUHLUWE;;EMDLETSHENI TRIBAL AUTHORITY,EZIBAYENI,HLUHLUWE,3960;Q1;1/3/1900;YES;RURAL;443;12
500143153;KZN;EZIBOMVINI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMZINYATHI;;GOVERNMENT;GOVERNMENT;30,4226;-28,7183;Msinga Local Municipality;MABUZELA;;EZIBOMVINI;;EZIBOMVINI,TUGELA FERRY,3010;Q1;1/3/1900;YES;RURAL;67;5
500143190;KZN;EZIBUKWENI SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;UMKHANYAKUDE;;GOVERNMENT;GOVERNMENT;32,0928;-27,4291;Jozini Local Municipality;JOZINI;;SODWANA ROAD;;MAPHAYA AREA,JOZINI,3969;Q2;1/3/1900;YES;RURAL;1096;44
500143227;KZN;EZIFUNDENI HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;UMKHANYAKUDE;;GOVERNMENT;GOVERNMENT;32,1552;-28,007;Big Five Hlabisa Local Municipality;MTHEKWINI;;HLUHLUWE;;475 EZIBAYENI P ROAD,EZIFUNDENI,HLUHLUWE,3960;Q1;1/3/1900;YES;RURAL;628;18
