NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
443011051;FS;SELOGILWE P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,47834013;-26,91749755;Ngwathe;Sekotiphala;TUMAHOLE;TUMAHOLE;PARYS;1052 KHUMALO STREET, TUMAHOLE, TUMAHOLE, PARYS, 9585;Q3;NULL;YES;Urban;1026;31
443011110;FS;SINDEKILE P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,47988451;-26,91726997;Ngwathe;Sekotiphala;Parys;Parys;PARYS;3323 TLADI STREET, Parys, Parys, PARYS, 9585;Q3;NULL;YES;Urban;782;22
443011135;FS;BARNARD MOLOKOANE S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,4851429;-26,91590546;Ngwathe;Mandela;Tumahole;Tumahole;PARYS;3442 New Location, Tumahole, Tumahole, PARYS, 9585;Q1;NULL;YES;Urban;1036;39
443011149;FS;NTSHWEPHEPA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,4840399;-26,92773477;Ngwathe;Lusaka;;;PARYS;8097 TUMAHOLE, , , PARYS, 9585;Q2;NULL;YES;Urban;1005;29
443011164;FS;LISTER SKOSANA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,49376942;-26,9172958;Ngwathe;Ou Lokasie;TUMAHOLE;TUMAHOLE;PARYS;9176 MANDELA SECTION, TUMAHOLE, TUMAHOLE, PARYS, 9585;Q1;NULL;YES;Urban;1170;34
443011166;FS;AHA SETJHABA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,47368587;-26,92868499;Ngwathe;Lusaka;TUMAHOLE;TUMAHOLE;PARYS;4955 FATHER BALINK STREET, TUMAHOLE, TUMAHOLE, PARYS, 9585;Q2;NULL;YES;Urban;1081;33
443011173;FS;YAKHISISWE S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,47427136;-26,9324253;Ngwathe;Sekotiphala;Tumahole Location;Tumahole Location;PARYS;7589 Sesulu Section, Tumahole Location, Tumahole Location, PARYS, 9585;Q3;NULL;YES;Urban;772;25
443011180;FS;BOITLAMO S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,49542745;-26,92184268;Ngwathe;Mandela;TUMAHOLE LOCATION;TUMAHOLE LOCATION;PARYS;9357 MANDELA SEC, TUMAHOLE LOCATION, TUMAHOLE LOCATION, PARYS, 9585;Q1;NULL;YES;Urban;708;30
443011183;FS;AM LEMBEDE P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,46596235;-26,91910313;Ngwathe;Ou Lokasie;TUMAHOLE;TUMAHOLE;PARYS;2028 MTHIMKULU STREET, TUMAHOLE, TUMAHOLE, PARYS, 9585;Q3;NULL;YES;Urban;379;15
443011203;FS;WEIVELD AS/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;AGRICULTURAL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,62182158;-26,97107967;Ngwathe;Parys NU;Plaas Ganskuil;Plaas Ganskuil;PARYS;Weiveld, Plaas Ganskuil, Plaas Ganskuil, PARYS, 9585;Q1;NULL;YES;Urban;493;20
443011241;FS;PARYS SKOOL S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,45787862;-26,90596082;Ngwathe;Parys Central;;;PARYS;Schilbachstraat , , , PARYS, 9585;Q4;NULL;NO;Urban;615;26
443011255;FS;PARYS P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,45867;-26,90765;Ngwathe;Parys Central;PARYS;PARYS;PARYS;ST JAN STREET, PARYS, PARYS, PARYS, 9585;Q4;NULL;NO;Urban;1019;42
443011262;FS;SCHONKENVILLE I/S;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;FEZILE DABI;5;GOVERNMENT;GOVERNMENT;27,46447839;-26,93185891;Ngwathe;Sunnyside SH;SCHONKENVILLE;SCHONKENVILLE;PARYS;42 SECOND STREET, SCHONKENVILLE, SCHONKENVILLE, PARYS, 9585;Q2;NULL;YES;Urban;1019;32
