NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
300015202;NC;IKAGENG INTERMEDIÊRE  SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;DOE NORTHERN CAPE;PUBLIC;-29,00806;23,93815;SIYANCUMA LOCAL MUNICIPALITY;.;.;.;DOUGLAS;DE KEUR FARM, DEKEUR FARM, KIMBERLEY, 8720;Q1;;YES; RURAL;261;9
300015203;NC;BOITSHOKO PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,7186;24,74326;SOL PLAATJIE LOCAL MUNICIPALITY;GALESHEWE EXT 6;.;GALESHEWE;KIMBERLEY;179 SESING STREET, GALESHEWE, KIMBERLEY, 8345;Q2;;NO;URBAN;706;22
300015204;NC;ENDEAVOUR PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,71818;24,76394;SOL PLAATJIE LOCAL MUNICIPALITY;FLORIANVILLE/FLOORS;.;FLORIANVILLE;KIMBERLEY;DEODAR ROAD, FLORIANVILLE, KIMBERLY, 8301;Q3;;NO;URBAN;1093;35
300015206;NC;DU TOITSPAN LAERSKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,75606;24,78145;SOL PLAATJIE LOCAL MUNICIPALITY;BEACONSFIELD;.;BEACONSFIELD;KIMBERLEY;SENTRAAL ROAD, BEACONSFIELD, KIMBERLEY, 8301;Q5;;NO;URBAN;983;28
300015207;NC;MASIZA SENIOR PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,7037;24,72432;SOL PLAATJIE LOCAL MUNICIPALITY;VERGENOEG EXT 2;VERGENOEG;MANKURWANE;KIMBERLEY;431 MAGODA STREET, MANKURWANE, KIMBERLEY, 8345;Q2;;NO; RURAL;616;22
300015208;NC;VAALLUS (NGK) PRIMÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;CHURCH;PUBLIC;-28,95568;23,94273;SIYANCUMA LOCAL MUNICIPALITY;HERBERT NU;.;VAALLUS;DOUGLAS;VAALUS FARM, VAALUS, DOUGLAS, 8730;Q1;;YES; RURAL;40;2
300015209;NC;KIM KGOLO PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,70636;24,73241;SOL PLAATJIE LOCAL MUNICIPALITY;VERGENOEG EXT 1;VERGENOEG;MANKURWANE;KIMBERLEY;MAPUTLE STREET, MANKURWANE, KIMBERLEY, 8345;Q2;;NO;URBAN;784;25
300015211;NC;SUNSET PRIMARY COLLEGE;OPEN;INDEPENDENT;ORDINARY SCHOOL;PRIMARY SCHOOL;UNKNOWN;FRANCES BAARD (FB);;CHURCH;INDEPENDENT;;;SOL PLAATJIE LOCAL MUNICIPALITY;.;.;NEW PARK;KIMBERLEY;BLACK STREET NEW PARK KIMBELEY 8301;N/A;;NO;UNKNOWN;246;20
300015401;NC;HOËRSKOOL DIAMANTVELD;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,75058;24,77206;SOL PLAATJIE LOCAL MUNICIPALITY;MEMORIAL ROAD AREA;.;.;KIMBERLEY;2 VOORTREKKER STREET, MEMORIAL ROAD AREA, KIMBERLY, 8301;Q5;;NO;URBAN;820;36
300015402;NC;EMMANUEL SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,69599;24,73157;SOL PLAATJIE LOCAL MUNICIPALITY;.;.;HOMEVALE;KIMBERLEY;14 TH STREET, HOMEVALE, KIMBERLEY, 8301;Q3;;NO;URBAN;1266;41
